units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
what meeting ends ealiest in the day	SW.superlative entity-en.meeting string-min SW.ensureNumericProperty string-end_time
meetings that start before d0 or before d1	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-< ( SW.ensureNumericEntity SW.concat )
show me the attendees for all meetings on d0	SW.filter entity-en.person SW.reverse string-attendee string-= ( SW.filter entity-en.meeting string-date string-= d0 )
show me all meetings at the e0 ending at d1	SW.filter ( SW.filter entity-en.meeting string-end_time string-= d1 ) string-location string-= e0
show me all meetings happening on or after d0	SW.filter entity-en.meeting SW.ensureNumericProperty string-date  string->= ( SW.ensureNumericEntity d0 )
what meeting did e0 attend at the e1	SW.filter ( SW.filter entity-en.meeting string-location string-= e1 ) string-attendee string-= e0
show me all meetings that start no earlier than when the e0 meeting ends	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-end_time  )
show me the people attending the most meetings	SW.countSuperlative entity-en.person string-min SW.reverse string-attendee entity-en.meeting
show me all meetings ending before d0	SW.filter entity-en.meeting SW.ensureNumericProperty string-end_time  string-< ( SW.ensureNumericEntity d0 )
show me all three hour meetings on d0	SW.filter ( SW.filter entity-en.meeting string-length string-= number3 en.hour ) string-date string-= d0
person who attends the meeting that ends at d0	SW.filter entity-en.person SW.reverse string-attendee string-= ( SW.filter entity-en.meeting string-end_time string-= d0 )
locations that do not house the e0 meeting	SW.filter entity-en.location SW.reverse string-location string-!= e0
location where more than two meetings are held	SW.countComparative entity-en.location SW.reverse string-location string-> number2 entity-en.meeting
shortest meeting	SW.superlative entity-en.meeting string-min SW.ensureNumericProperty string-length
what meeting ends before the start of e0	SW.filter entity-en.meeting SW.ensureNumericProperty string-end_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-start_time  )
what meeting has the longest time	SW.superlative entity-en.meeting string-max SW.ensureNumericProperty string-end_time
show me all meetings which begin earlier than d0 or d1	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-< ( SW.ensureNumericEntity SW.concat )
meetings attended by two or more people	SW.countComparative entity-en.meeting string-attendee string->= number2
meeting whose location is same as the  location of e0	SW.filter entity-en.meeting string-location string-= ( SW.filter entity-en.location SW.reverse string-location string-= e0 )
is the meeting at d0 or d1	SW.concat
what is the location that more than two meetings will be held at	SW.countComparative entity-en.location SW.reverse string-location string-> number2 entity-en.meeting
show me all meeting that take place by d0	SW.filter entity-en.meeting SW.ensureNumericProperty string-date  string-<= ( SW.ensureNumericEntity SW.concat )
meetings that are not held at e0	SW.filter entity-en.meeting string-location string-!= e0
people attending meetings that e0 attends	SW.filter entity-en.person SW.reverse string-attendee string-= ( SW.filter entity-en.meeting string-attendee string-= e0 )
what important meetings start at d0	SW.filter ( SW.filter entity-en.meeting string-start_time string-= d0 ) string-is_important
important meetings that start at d0	SW.filter ( SW.filter entity-en.meeting string-is_important ) string-start_time string-= d0
when is the e0	SW.getProperty e0 string-start_time
meeting on d0 with e0 as attendee	SW.filter ( SW.filter entity-en.meeting string-attendee string-= e0 ) string-date string-= d0
what location is the meeting that starts at d0	SW.filter entity-en.location SW.reverse string-location string-= ( SW.filter entity-en.meeting string-start_time string-= d0 )
what important meeting has e0 attending	SW.filter ( SW.filter entity-en.meeting string-is_important ) string-attendee string-= e0
what meeting is on or before d0 or d1	SW.filter entity-en.meeting SW.ensureNumericProperty string-date  string-<= ( SW.ensureNumericEntity SW.concat )
show me all people who have attended at least two meetings	SW.countComparative entity-en.person SW.reverse string-attendee string->= number2 entity-en.meeting
meeting at e0 which ends at d1	SW.filter ( SW.filter entity-en.meeting string-end_time string-= d1 ) string-location string-= e0
show me all meetings beginning at d0 and all meetings ending at d0	SW.filter ( SW.filter entity-en.meeting string-end_time string-= d0 ) string-end_time string-= d0
what location are the fewest meetings held	SW.countSuperlative entity-en.location string-min SW.reverse string-location entity-en.meeting
what meeting ends at d0 in which e0 is attending	SW.filter ( SW.filter entity-en.meeting string-end_time string-= d0 ) string-attendee string-= e0
meeting ends no later than d0 or d1	SW.filter entity-en.meeting SW.ensureNumericProperty string-end_time  string-<= ( SW.ensureNumericEntity SW.concat )
show me all meetings attended by people who have also attended the e0	SW.filter entity-en.meeting string-attendee string-= ( SW.filter entity-en.person SW.reverse string-attendee string-= e0 )
what meeting is the same length as that of e0 startup	SW.filter entity-en.meeting string-length string-= SW.getProperty e0 string-length
meeting that ends sooner than e0 ends	SW.filter entity-en.meeting SW.ensureNumericProperty string-end_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-end_time  )
show me meetings at e0	SW.filter ( SW.filter entity-en.meeting string-location string-= e0 ) string-location string-= e0
what important meeting has a location at e0	SW.filter ( SW.filter entity-en.meeting string-is_important ) string-location string-= e0
show me all locations that are used for more than two meetings	SW.countComparative entity-en.location SW.reverse string-location string-> number2 entity-en.meeting
what is the average length of all the meetings	string-avg SW.getProperty entity-en.meeting string-length
show me all meetings in e0 or e1	SW.filter entity-en.meeting string-location string-= SW.concat
meeting of smallest duration	SW.superlative entity-en.meeting string-min SW.ensureNumericProperty string-end_time
person attending three hour meeting	SW.filter entity-en.person SW.reverse string-attendee string-= ( SW.filter entity-en.meeting string-length string-= number3 en.hour )
what meeting is on d0 or d1	SW.filter entity-en.meeting string-date string-= SW.concat
meetings that are three hours or less or one hour or less	SW.filter entity-en.meeting SW.ensureNumericProperty string-length  string-<= ( SW.ensureNumericEntity SW.concat )
what is the number of the location	.size entity-en.location
meeting that ends at start time of e0	SW.filter entity-en.meeting string-end_time string-= SW.getProperty e0 string-start_time
duration of meeting	string-sum SW.getProperty entity-en.meeting string-length
show me the meetings with the least number of different locations	SW.countSuperlative entity-en.meeting string-min string-location
what meeting is at least three hours	SW.filter entity-en.meeting SW.ensureNumericProperty string-length  string->= ( SW.ensureNumericEntity number3 en.hour )
show me all meetings that e0 is attending	SW.filter ( SW.filter entity-en.meeting string-attendee string-= e0 ) string-attendee string-= e0
locations of meetings that are three hours long	SW.filter entity-en.location SW.reverse string-location string-= ( SW.filter entity-en.meeting string-length string-= number3 en.hour )
show me all meetings three hours long which end at d0	SW.filter ( SW.filter entity-en.meeting string-length string-= number3 en.hour ) string-end_time string-= d0
show me the meeting starting latest in the day	SW.superlative entity-en.meeting string-max SW.ensureNumericProperty string-start_time
what meeting has the most amount of locations	SW.countSuperlative entity-en.meeting string-max string-location
what meeting starts at d0	SW.filter ( SW.filter entity-en.meeting string-start_time string-= d0 ) string-start_time string-= d0
meeting that starts at d0 and ends at 1pm	SW.filter ( SW.filter entity-en.meeting string-length string-= number3 en.hour ) string-start_time string-= d0
how long is the e0 meeting	SW.getProperty e0 string-length
what meeting has the later date	SW.superlative entity-en.meeting string-max SW.ensureNumericProperty string-date
what meeting has a start time at d0 at e0	SW.filter ( SW.filter entity-en.meeting string-start_time string-= d0 ) string-location string-= e0
people attending meetings that start at d0	SW.filter entity-en.person SW.reverse string-attendee string-= ( SW.filter entity-en.meeting string-start_time string-= d0 )
what person attends most meetings	SW.countSuperlative entity-en.person string-max SW.reverse string-attendee entity-en.meeting
show me all meetings three hours long at the e0	SW.filter ( SW.filter entity-en.meeting string-length string-= number3 en.hour ) string-location string-= e0
meeting whose start time is after end time of e0	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-end_time  )
which meetings are important	SW.filter ( SW.filter entity-en.meeting string-is_important ) string-is_important
show me meetings starting before d0	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-<= ( SW.ensureNumericEntity d0 )
show me all locations which have had at least two meetings	SW.countComparative entity-en.location SW.reverse string-location string->= number2 entity-en.meeting
show me meetings at fewer than two locations	SW.countComparative entity-en.meeting string-location string-< number2
show me all meetings between d0 and d1	SW.concat
show me meetings happening after d0	SW.filter entity-en.meeting SW.ensureNumericProperty string-date  string-> ( SW.ensureNumericEntity d0 )
what meeting had the fewest people show up	SW.countSuperlative entity-en.meeting string-min string-attendee
show the meeting on d0	SW.filter entity-en.meeting string-date string-= d0
show me all meetings which begin after the e0 ends	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-end_time  )
three hour meeting that ends at d0	SW.filter ( SW.filter entity-en.meeting string-end_time string-= d0 ) string-length string-= number3 en.hour
show me the meeting e0 will attend which ends at d1	SW.filter ( SW.filter entity-en.meeting string-end_time string-= d1 ) string-attendee string-= e0
show me all meetings with at least two people attending	SW.countComparative entity-en.meeting string-attendee string->= number2
show me all meetings that begin no later than the time the e0 meeting starts	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-start_time  )
show me any meetings e0 has attended on d1	SW.filter ( SW.filter entity-en.meeting string-date string-= d1 ) string-attendee string-= e0
meetings that start at d0 or d1	SW.filter entity-en.meeting string-start_time string-= SW.concat
what is the average length of a meeting	string-avg SW.getProperty entity-en.meeting string-length
show me meetings with the most locations	SW.countSuperlative entity-en.meeting string-max string-location
show me all meetings which end earlier than the e0 begins	SW.filter entity-en.meeting SW.ensureNumericProperty string-end_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-start_time  )
meetings with the earliest start time	SW.superlative entity-en.meeting string-min SW.ensureNumericProperty string-start_time
what meetings are imporant and start at d0	SW.filter ( SW.filter entity-en.meeting string-start_time string-= d0 ) string-is_important
meetings that are the same length as or longer than the e0 meeting	SW.filter entity-en.meeting SW.ensureNumericProperty string-length  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-length  )
start time of the meeting is after the start time of e0	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-start_time  )
people that attend more than two meetings	SW.countComparative entity-en.person SW.reverse string-attendee string-> number2 entity-en.meeting
which meeting is scheduled on the earliest date	SW.superlative entity-en.meeting string-min SW.ensureNumericProperty string-date
what meeting has a start time no later than d0 or d1	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-<= ( SW.ensureNumericEntity SW.concat )
what location has more than two meetings	SW.countComparative entity-en.location SW.reverse string-location string-> number2 entity-en.meeting
show me meetings that start before the e0 ends	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-end_time  )
meeting starts later than d0	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-> ( SW.ensureNumericEntity d0 )
what meetings are scheduled to run for 3 hours	SW.filter entity-en.meeting SW.ensureNumericProperty string-length  string->= ( SW.ensureNumericEntity number3 en.hour )
show me the meetings which have lasted the longest	SW.superlative entity-en.meeting string-max SW.ensureNumericProperty string-length
show me all meetings less than three hours long	SW.filter entity-en.meeting SW.ensureNumericProperty string-length  string-<= ( SW.ensureNumericEntity number3 en.hour )
meeting with least attendees	SW.countSuperlative entity-en.meeting string-min string-attendee
important meeting	SW.filter entity-en.meeting string-is_important
what is the location that the most number of meetings will be held	SW.countSuperlative entity-en.location string-max SW.reverse string-location entity-en.meeting
what meetings end at the same time as the e0 roundup meeting	SW.filter entity-en.meeting string-end_time string-= SW.getProperty e0 string-end_time
show me all meetings that fall before or after d0	SW.filter entity-en.meeting string-date string-!= d0
how many people attended meetings	.size entity-en.person
what person is attending e0 startup	SW.filter entity-en.person SW.reverse string-attendee string-= e0
meetings that end at d0	SW.filter entity-en.meeting string-end_time string-= d0
which meetings dont start at d0	SW.filter entity-en.meeting string-start_time string-!= d0
show me all meetings at least three hours long	SW.filter entity-en.meeting SW.ensureNumericProperty string-length  string->= ( SW.ensureNumericEntity number3 en.hour )
show me meetings that take 3 hours	SW.filter ( SW.filter entity-en.meeting string-length string-= number3 en.hour ) string-length string-= number3 en.hour
what is the most recent meeting	SW.superlative entity-en.meeting string-max SW.ensureNumericProperty string-date
show me all meetings that share an attendee with the e0 meeting	SW.filter entity-en.meeting string-attendee string-= ( SW.filter entity-en.person SW.reverse string-attendee string-= e0 )
meetings that are three hours long or less	SW.filter entity-en.meeting SW.ensureNumericProperty string-length  string-<= ( SW.ensureNumericEntity number3 en.hour )
what meeting is at the same location as e0	SW.filter entity-en.meeting string-location string-= SW.getProperty e0 string-location
meeting ends after end time of e0	SW.filter entity-en.meeting SW.ensureNumericProperty string-end_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-end_time  )
meetings attended by people that attend the e0 meeting	SW.filter entity-en.meeting string-attendee string-= SW.getProperty e0 string-attendee
meetings held at e0 or e1	SW.filter entity-en.meeting string-location string-= SW.concat
show me all meetings that end at d0 and start at d0	SW.filter ( SW.filter entity-en.meeting string-end_time string-= d0 ) string-start_time string-= d0
what is an important meeting	SW.filter ( SW.filter entity-en.meeting string-is_important ) string-is_important
what meeting has a after d0 or d1	SW.filter entity-en.meeting SW.ensureNumericProperty string-date  string-> ( SW.ensureNumericEntity SW.concat )
three or one hours	SW.concat
what meeting has a later date than e0	SW.filter entity-en.meeting SW.ensureNumericProperty string-date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-date  )
what meeting starts the earliest	SW.superlative entity-en.meeting string-min SW.ensureNumericProperty string-start_time
show me all meetings that start no earlier than the e0 meeting	SW.filter entity-en.meeting SW.ensureNumericProperty string-date  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-date  )
what important meeting has a length of three hours	SW.filter ( SW.filter entity-en.meeting string-length string-= number3 en.hour ) string-is_important
show me who is attending three hour meetings	SW.filter entity-en.person SW.reverse string-attendee string-= ( SW.filter entity-en.meeting string-length string-= number3 en.hour )
people that attend meetings at e0	SW.filter entity-en.person SW.reverse string-attendee string-= ( SW.filter entity-en.meeting string-location string-= e0 )
meetings with the latest start time	SW.superlative entity-en.meeting string-max SW.ensureNumericProperty string-start_time
meetings that end at the same as the e0 meeting	SW.filter entity-en.meeting string-end_time string-= SW.getProperty e0 string-end_time
what location does not hold the e0 meeting	SW.filter entity-en.location SW.reverse string-location string-!= e0
meeting share attendee with e0	SW.filter entity-en.meeting string-attendee string-= SW.getProperty e0 string-attendee
show me the location of all meetings attended by e0	SW.filter entity-en.location SW.reverse string-location string-= ( SW.filter entity-en.meeting string-attendee string-= e0 )
who has attended the least meetings	SW.countSuperlative entity-en.person string-min SW.reverse string-attendee entity-en.meeting
what person is an attendee of at least two meetings	SW.countComparative entity-en.person SW.reverse string-attendee string->= number2 entity-en.meeting
which person is attending an important meeting	SW.filter entity-en.person SW.reverse string-attendee string-= ( SW.filter entity-en.meeting string-is_important )
who attends e0	SW.filter entity-en.person SW.reverse string-attendee string-= e0
what date is the e0 meeting	SW.getProperty e0 string-date
show me meetings that start and end at d0	SW.filter ( SW.filter entity-en.meeting string-end_time string-= d0 ) string-start_time string-= d0
show me all meetings lasting three hours beginning at d0	SW.filter ( SW.filter entity-en.meeting string-length string-= number3 en.hour ) string-start_time string-= d0
what is the number of the person	.size entity-en.person
what meeting starts at the e0 average start time	SW.filter entity-en.meeting SW.ensureNumericProperty string-start_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-start_time  )
meetings with the latest end time	SW.superlative entity-en.meeting string-max SW.ensureNumericProperty string-end_time
show me meetings after d0	SW.filter entity-en.meeting SW.ensureNumericProperty string-date  string-> ( SW.ensureNumericEntity SW.concat )
meetings that end at the same time as or later than the start of the e0 meeting	SW.filter entity-en.meeting SW.ensureNumericProperty string-end_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-start_time  )
what meetings have the same start time as the week startup meeting	SW.filter entity-en.meeting string-start_time string-= SW.getProperty en.meeting.weekly_standup string-start_time
which people will attend two or more meetings	SW.countComparative entity-en.person SW.reverse string-attendee string-> number2 entity-en.meeting
which meeting has the earliest end time	SW.superlative entity-en.meeting string-min SW.ensureNumericProperty string-end_time
meeting that has maximum 2 attendees	SW.countComparative entity-en.meeting string-attendee string-<= number2
show me all meetings which end at the same time the e0 begins	SW.filter entity-en.meeting string-end_time string-= SW.getProperty e0 string-start_time
meeting that starts and ends at d0	SW.filter ( SW.filter entity-en.meeting string-start_time string-= d0 ) string-end_time string-= d0
which meeting is scheduled on the latest date	SW.superlative entity-en.meeting string-max SW.ensureNumericProperty string-date
meeting which starts at d0 at e0	SW.filter ( SW.filter entity-en.meeting string-location string-= e0 ) string-start_time string-= d0
what time does the e0 meeting end	SW.getProperty e0 string-end_time
what person is an attendee of more than two meetings	SW.countComparative entity-en.person SW.reverse string-attendee string-> number2 entity-en.meeting
meetings at e0 attended by e1	SW.filter ( SW.filter entity-en.meeting string-attendee string-= e1 ) string-location string-= e0
show me all meetings not ending at d0	SW.filter entity-en.meeting string-end_time string-!= d0
meeting shares attendee with e0	SW.filter entity-en.meeting string-attendee string-= ( SW.filter entity-en.person SW.reverse string-attendee string-= e0 )
what is the location of the meeting that will have two or more attendees	SW.countComparative entity-en.location SW.reverse string-location string->= number2 entity-en.meeting
show me meeting locations that start at d0	SW.filter entity-en.location SW.reverse string-location string-= ( SW.filter entity-en.meeting string-start_time string-= d0 )
who is not an attendee of e0	SW.filter entity-en.person SW.reverse string-attendee string-!= e0
select the block that is below e0	SW.filter ( SW.filter entity-en.block string-below string-= e0 ) SW.reverse string-above string-= e0
find the blocks with length and height of 3 inches	SW.filter ( SW.filter entity-en.block string-length string-= number3 en.inch ) string-height string-= number3 en.inch
which special brick is e0	SW.filter ( SW.filter entity-en.block string-shape string-= e0 ) string-is_special
find me all blocks below the smallest numbers of blocks	SW.countSuperlative entity-en.block string-min string-below entity-en.block
find a block between e0 and a block above e0	SW.filter entity-en.block string-below string-= ( SW.filter entity-en.block string-above string-= e0 )
which brick is 3 or 6 inches high	SW.filter entity-en.block string-height string-= SW.concat
is there a block piled on top of e0	SW.filter entity-en.block string-above string-= e0
find me a block that has a special block to its right	SW.filter entity-en.block SW.reverse string-left string-= ( SW.filter entity-en.block string-is_special )
choose the brick to the right of the 3 inch block	SW.filter entity-en.block string-right string-= ( SW.filter entity-en.block string-length string-= number3 en.inch )
find the block above two blocks	SW.countComparative entity-en.block SW.reverse string-below string-= number2 entity-en.block
select a brick to the right of the brick directly below e0	SW.filter entity-en.block string-right string-= ( SW.filter entity-en.block string-below string-= e0 )
what brick is no more than 3 inches high	SW.filter entity-en.block SW.ensureNumericProperty string-height  string-<= ( SW.ensureNumericEntity number3 en.inch )
block whose height is at most 3 inches	SW.filter entity-en.block SW.ensureNumericProperty string-height  string-<= ( SW.ensureNumericEntity number3 en.inch )
find the block that has a length of 3 inches and is below e0	SW.filter ( SW.filter entity-en.block string-length string-= number3 en.inch ) SW.reverse string-below string-= e0
what is the width of the block	string-sum SW.getProperty entity-en.block string-width
block right of e0 which is 3 inches high	SW.filter ( SW.filter entity-en.block SW.reverse string-right string-= e0 ) string-height string-= number3 en.inch
e0 block rght of e1	SW.filter ( SW.filter entity-en.block string-right string-= e1 ) string-shape string-= e0
find me all blocks that e0 is left and right of	SW.filter ( SW.filter entity-en.block SW.reverse string-left string-= e0 ) SW.reverse string-right string-= e0
choose a block that is shorter than e0	SW.filter entity-en.block SW.ensureNumericProperty string-height  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-height  )
block left of block above e0	SW.filter entity-en.block SW.reverse string-below string-= ( SW.filter entity-en.block string-left string-= e0 )
find me all the bricks at least 3 inches long	SW.filter entity-en.block SW.ensureNumericProperty string-length  string->= ( SW.ensureNumericEntity number3 en.inch )
find me a block at most 6 inches wide	SW.filter entity-en.block SW.ensureNumericProperty string-width  string-<= ( SW.ensureNumericEntity SW.concat )
select the block whose width is 3 inches	SW.filter entity-en.block SW.reverse string-left string-= ( SW.filter entity-en.block string-width string-= number3 en.inch )
select a block that has less than two colors	SW.countComparative entity-en.block string-color string-< number2
select the block that is to the left of e0 and that has a length of 3 inches	SW.filter ( SW.filter entity-en.block SW.reverse string-right string-= e0 ) string-length string-= number3 en.inch
which brick is wider than 3 inches	SW.filter entity-en.block SW.ensureNumericProperty string-width  string-> ( SW.ensureNumericEntity number3 en.inch )
find me all blocks  with at most two blocks left of it	SW.countComparative entity-en.block SW.reverse string-left string-<= number2 entity-en.block
what block is at least as tall as e0 is wide	SW.filter entity-en.block SW.ensureNumericProperty string-height  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-width  )
find me all the blocks at least as long as e0 is wide	SW.filter entity-en.block SW.ensureNumericProperty string-length  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-width  )
what block is above the 3 inch high block	SW.filter entity-en.block string-above string-= ( SW.filter entity-en.block string-height string-= number3 en.inch )
2 blocks right of e0	SW.filter entity-en.block string-left string-= ( SW.filter entity-en.block string-right string-= e0 )
find a block with a height no more than 3 inches	SW.filter entity-en.block SW.ensureNumericProperty string-height  string-<= ( SW.ensureNumericEntity number3 en.inch )
find me a block that is to the left of two or less blocks	SW.countComparative entity-en.block string-left string-<= number2 entity-en.block
find the block that is above e0	SW.filter entity-en.block SW.reverse string-above string-= ( SW.filter entity-en.block string-above string-= e0 )
find a block of 3 height above e0	SW.filter ( SW.filter entity-en.block string-above string-= e0 ) string-height string-= number3 en.inch
find me all blocks with at most two blocks to the left	SW.countComparative entity-en.block string-left string-< number2 entity-en.block
what is the left most block	SW.countSuperlative entity-en.block string-max SW.reverse string-left entity-en.block
block two spaces above e0	SW.filter entity-en.block string-above string-= ( SW.filter entity-en.block string-above string-= e0 )
block to right of two or more blocks	SW.countComparative entity-en.block string-right string-> number2 entity-en.block
find the block that has the smallest length	SW.superlative entity-en.block string-min SW.ensureNumericProperty string-length
what is the height of e0	SW.getProperty e0 string-height
what brick has more than 2 bricks below it	SW.countComparative entity-en.block SW.reverse string-below string-> number2 entity-en.block
block below e0	SW.filter ( SW.filter entity-en.block string-below string-= e0 ) SW.reverse string-above string-= e0
find a block without a length of 3 inches	SW.filter entity-en.block string-length string-!= number3 en.inch
block two up from e0	SW.filter entity-en.block string-above string-= ( SW.filter entity-en.block SW.reverse string-above string-= e0 )
block whose height is 3 inches and that is below e0	SW.filter ( SW.filter entity-en.block string-height string-= number3 en.inch ) string-below string-= e0
what block is below the special block	SW.filter entity-en.block string-below string-= ( SW.filter entity-en.block string-is_special )
what 3 inch brick is to the left of e0	SW.filter ( SW.filter entity-en.block string-left string-= e0 ) string-length string-= number3 en.inch
find me all blocks above e0	SW.filter entity-en.block string-above string-= e0
what is the number of blocks	.size entity-en.block
find me all blocks shorter than e0	SW.filter entity-en.block SW.ensureNumericProperty string-height  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-height  )
find the block that is to the right of e0 with a width of 3 inches	SW.filter ( SW.filter entity-en.block SW.reverse string-right string-= e0 ) string-width string-= number3 en.inch
select the block above the right one	SW.filter entity-en.block SW.reverse string-right string-= ( SW.filter entity-en.block SW.reverse string-above string-= en.block.block1 )
find me all blocks left of 3 inch wide blocks	SW.filter entity-en.block SW.reverse string-left string-= ( SW.filter entity-en.block string-width string-= number3 en.inch )
find me all blocks with a length longer than 3 inches	SW.filter entity-en.block SW.ensureNumericProperty string-length  string-> ( SW.ensureNumericEntity SW.concat )
which brick is above e0	SW.filter entity-en.block string-above string-= e0
which brick is 3 inches wide and to the right of e0	SW.filter ( SW.filter entity-en.block string-length string-= number3 en.inch ) string-right string-= e0
select a brick that is at least 3 inches wide	SW.filter entity-en.block SW.ensureNumericProperty string-width  string->= ( SW.ensureNumericEntity number3 en.inch )
find me all the e0 blocks	SW.filter entity-en.block string-shape string-= e0
find me all blocks above that is left of e0	SW.filter ( SW.filter entity-en.block string-left string-= e0 ) SW.reverse string-above string-= e0
3 inch wide block above e0	SW.filter ( SW.filter entity-en.block SW.reverse string-below string-= e0 ) string-width string-= number3 en.inch
which block is below block that is at the right of e0	SW.filter entity-en.block string-below string-= ( SW.filter entity-en.block string-right string-= e0 )
find me all blocks whose width is smaller than 6 inches	SW.filter entity-en.block SW.ensureNumericProperty string-width  string-< ( SW.ensureNumericEntity SW.concat )
block that is special and whose length is 3 inches	SW.filter ( SW.filter entity-en.block string-is_special ) string-length string-= number3 en.inch
which brick is farthest to the left	SW.countSuperlative entity-en.block string-min SW.reverse string-right entity-en.block
find me all 3 inch wide blocks right of e0	SW.filter ( SW.filter entity-en.block string-width string-= number3 en.inch ) string-right string-= e0
find me all 3 inch tall blocks that e0 is right of	SW.filter ( SW.filter entity-en.block string-height string-= number3 en.inch ) SW.reverse string-right string-= e0
block above block that is below e0	SW.filter entity-en.block string-above string-= ( SW.filter entity-en.block string-below string-= e0 )
what special blocks are above e0	SW.filter ( SW.filter entity-en.block string-is_special ) string-above string-= e0
3 inch wide block to the right of e0	SW.filter ( SW.filter entity-en.block string-width string-= number3 en.inch ) string-right string-= e0
find me all blocks that is left of e0	SW.filter ( SW.filter entity-en.block SW.reverse string-left string-= e0 ) string-left string-= e0
3 inches long block and that is above e0	SW.filter ( SW.filter entity-en.block string-length string-= number3 en.inch ) SW.reverse string-above string-= e0
what block has the same width as block 1s height	SW.filter entity-en.block string-width string-= SW.getProperty en.block.block1 string-height
which block is below the block below e0	SW.filter entity-en.block SW.reverse string-below string-= ( SW.filter entity-en.block SW.reverse string-above string-= e0 )
which block is the same height as e0	SW.filter entity-en.block string-height string-= SW.getProperty e0 string-height
block which has block 1s below and right	SW.filter ( SW.filter entity-en.block SW.reverse string-below string-= en.block.block1 ) string-left string-= en.block.block1
what block is to the left of e0 and has a width of 3 inches	SW.filter ( SW.filter entity-en.block string-left string-= e0 ) string-width string-= number3 en.inch
block below block right of e0	SW.filter entity-en.block string-below string-= ( SW.filter entity-en.block SW.reverse string-left string-= e0 )
select the least colorful brick	SW.countSuperlative entity-en.block string-min string-color
find me all blocks below e0	SW.filter ( SW.filter entity-en.block SW.reverse string-below string-= e0 ) string-below string-= e0
find a block under and to the right of e0	SW.filter ( SW.filter entity-en.block SW.reverse string-above string-= e0 ) SW.reverse string-left string-= e0
block which is at the right of most number of blocks	SW.countSuperlative entity-en.block string-max SW.reverse string-right entity-en.block
find me all blocks with less than 2 shapes	SW.countComparative entity-en.block string-shape string-< number2
find me all 3 inch long blocks  that e0 is left of	SW.filter ( SW.filter entity-en.block SW.reverse string-left string-= e0 ) string-length string-= number3 en.inch
select a block below e0 that is 3 inches long	SW.filter ( SW.filter entity-en.block string-length string-= number3 en.inch ) string-below string-= e0
what block is left of the least number of blocks	SW.countSuperlative entity-en.block string-min SW.reverse string-left entity-en.block
find me all blocks left of e0 blocks	SW.filter entity-en.block string-left string-= ( SW.filter entity-en.block string-shape string-= e0 )
find the block that has a width of 3 inches and is above e0	SW.filter ( SW.filter entity-en.block string-above string-= e0 ) string-width string-= number3 en.inch
find me all the blocks with less than 2 blocks above it	SW.countComparative entity-en.block SW.reverse string-above string-< number2 entity-en.block
select the e0 block that is left of e1	SW.filter ( SW.filter entity-en.block string-left string-= e1 ) string-shape string-= e0
find the block to the left of the largest number of blocks	SW.countSuperlative entity-en.block string-max string-left entity-en.block
find blocks above e0 and below e0	SW.filter ( SW.filter entity-en.block string-above string-= e0 ) string-below string-= e0
what blocks are to the left and below e0	SW.filter ( SW.filter entity-en.block SW.reverse string-above string-= e0 ) string-left string-= e0
find a block below and to the right of e0	SW.filter entity-en.block string-right string-= ( SW.filter entity-en.block string-below string-= e0 )
what block is to the left of and below e0	SW.filter entity-en.block SW.reverse string-below string-= ( SW.filter entity-en.block SW.reverse string-left string-= e0 )
a e0 or a e1	SW.concat
find a block the same color as e0	SW.filter entity-en.block string-color string-= SW.getProperty e0 string-color
select the block with a length of 3 inches that is above e0	SW.filter ( SW.filter entity-en.block string-length string-= number3 en.inch ) string-above string-= e0
what shape is e0	SW.getProperty e0 string-shape
find me all blocks with less than 2 colors	SW.countComparative entity-en.block string-color string-< number2
